step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
72,2.304,72.795158,65.115306,0.068481,0.068481,0.229378,0.068481,0.3,0.3,71.66892,57.556797,2.68156,2.76948,0.000772,0.358267,FORWARD
73,2.336,70.443736,68.883635,0.3,0.3,0.250565,0.3,0.3,0.3,59.917594,67.968228,2.71924,2.80716,0.000772,0.545455,FORWARD
74,2.368,62.97697,67.74248,0.3,0.299649,0.265395,0.299649,0.3,0.3,71.867148,61.935876,2.75692,2.84484,0.000772,0.545455,FORWARD
75,2.4,66.577418,64.864895,0.3,0.299356,0.275777,0.299356,0.068334,0.3,73.337856,64.378868,2.7946,2.88252,0.000772,0.427083,FORWARD
76,2.432,68.417745,71.628806,0.3,0.29909,0.283044,0.29909,0.3,0.3,69.730953,62.838438,2.8574,2.90136,0.000837,0.385403,FORWARD
77,2.464,65.251751,69.434213,0.3,0.298939,0.288131,0.298939,0.3,0.3,62.058566,64.21992,2.89508,2.93904,0.000772,0.369246,FORWARD
78,2.496,67.714044,67.809035,0.3,0.298832,0.291691,0.298832,0.3,0.067724,68.682282,75.588827,2.93276,2.97672,0.000772,0.362751,FORWARD
79,2.528,62.68107,67.131369,0.3,0.298717,0.294184,0.298717,0.3,0.3,64.698055,69.089518,2.9516,3.03952,0.000837,0.360103,FORWARD
80,2.56,67.768055,69.468244,0.3,0.298682,0.295929,0.298682,0.067753,0.3,75.482485,62.994765,2.98928,3.0772,0.000772,0.359017,FORWARD
81,2.592,69.194995,60.621618,0.3,0.298618,0.29715,0.298618,0.3,0.3,59.569402,66.946801,3.05208,3.09604,0.000837,0.35857,FORWARD
82,2.624,61.117945,62.027082,0.3,0.298618,0.298005,0.298618,0.3,0.067602,69.948633,76.039386,3.08976,3.13372,0.000772,0.358386,FORWARD
83,2.656,72.694038,64.77211,0.068508,0.068508,0.229156,0.068508,0.3,0.3,69.660564,65.539979,3.10232,3.19024,0.000708,0.358311,FORWARD
84,2.688,66.511695,66.171119,0.3,0.3,0.250409,0.3,0.3,0.3,69.991558,64.482906,3.14,3.2342,0.000837,0.545455,FORWARD
85,2.72,67.348084,70.291196,0.3,0.299649,0.265286,0.299649,0.3,0.3,69.933162,68.808993,3.17768,3.27188,0.000772,0.545455,FORWARD
86,2.752,68.579758,67.286773,0.3,0.299319,0.275701,0.299319,0.3,0.3,67.057596,69.73584,3.22164,3.30956,0.000837,0.427083,FORWARD
87,2.784,67.944182,65.150524,0.3,0.299107,0.28299,0.299107,0.3,0.3,66.789433,66.653246,3.25932,3.34724,0.000772,0.385403,FORWARD
88,2.816,70.820667,62.091918,0.3,0.29895,0.288093,0.29895,0.3,0.3,70.270211,69.940498,3.297,3.38492,0.000772,0.369246,FORWARD
89,2.848,63.262867,68.345209,0.3,0.298838,0.291665,0.298838,0.3,0.3,58.753933,68.662879,3.33468,3.4226,0.000772,0.362751,FORWARD
90,2.88,67.052048,65.327104,0.3,0.298762,0.294166,0.298762,0.3,0.3,70.216377,56.089504,3.37236,3.46028,0.000772,0.360103,FORWARD
91,2.912,67.247345,68.63351,0.3,0.298712,0.295916,0.298712,0.3,0.3,67.799226,66.801576,3.41004,3.49796,0.000772,0.359017,FORWARD
92,2.944,66.734421,67.175638,0.3,0.298678,0.297141,0.298678,0.3,0.3,71.657183,66.707822,3.44772,3.53564,0.000772,0.35857,FORWARD
93,2.976,62.233255,65.136571,0.3,0.298615,0.297999,0.298615,0.3,0.3,67.189214,68.089603,3.4854,3.5796,0.000837,0.358386,FORWARD
94,3.008,64.69403,69.189399,0.3,0.298616,0.298599,0.298616,0.3,0.3,63.703117,66.590634,3.52308,3.61728,0.000772,0.358311,FORWARD
95,3.04,69.815827,62.489915,0.3,0.298575,0.299019,0.298575,0.3,0.3,69.411743,67.820436,3.56704,3.65496,0.000837,0.358279,FORWARD
96,3.072,66.946751,67.183943,0.3,0.29859,0.299314,0.29859,0.3,0.3,70.816747,63.899993,3.60472,3.69264,0.000772,0.358267,FORWARD
97,3.104,70.959863,65.994481,0.3,0.298599,0.29952,0.298599,0.3,0.3,64.689137,60.023757,3.6424,3.73032,0.000772,0.358261,FORWARD
98,3.136,70.223485,69.348149,0.3,0.298605,0.299664,0.298605,0.068467,0.3,72.847527,68.810138,3.68008,3.768,0.000772,0.358259,FORWARD
99,3.168,65.343086,67.609713,0.3,0.298568,0.299765,0.298568,0.067605,0.3,76.028798,68.886037,3.74288,3.78684,0.000837,0.358258,FORWARD
100,3.2,66.005931,64.834744,0.3,0.298627,0.299835,0.298627,0.3,0.3,67.938026,64.032717,3.7994,3.7994,0.000708,0.358258,FORWARD
101,3.232,68.310217,71.374353,0.3,0.298623,0.299885,0.298623,0.3,0.3,64.842239,70.461453,3.83708,3.83708,0.000772,0.358258,FORWARD
102,3.264,65.078577,72.374997,0.068595,0.068595,0.230498,0.068595,0.068372,0.3,73.195686,69.040449,3.87476,3.87476,0.000772,0.358258,FORWARD
103,3.296,70.570902,61.153708,0.3,0.3,0.251348,0.3,0.3,0.3,67.078442,70.029148,3.93756,3.8936,0.000837,0.545455,FORWARD
104,3.328,63.081826,68.867419,0.3,0.299649,0.265944,0.299649,0.3,0.3,71.138097,71.640964,3.97524,3.93128,0.000772,0.545455,FORWARD
105,3.36,56.296037,70.206267,0.3,0.299356,0.276161,0.299356,0.3,0.3,61.744751,69.221785,4.01292,3.96896,0.000772,0.427083,FORWARD
106,3.392,67.108873,67.022193,0.3,0.29913,0.283312,0.29913,0.067817,0.3,75.246429,70.656474,4.0506,4.00664,0.000772,0.385403,FORWARD
107,3.424,63.568399,69.136638,0.3,0.298923,0.288319,0.298923,0.3,0.3,67.889222,67.938944,4.1134,4.02548,0.000837,0.369246,FORWARD
108,3.456,71.515329,65.903795,0.3,0.298822,0.291823,0.298822,0.3,0.3,64.427131,68.118273,4.15108,4.06316,0.000772,0.362751,FORWARD
109,3.488,66.0786,60.904617,0.3,0.298752,0.294276,0.298752,0.3,0.3,64.310332,62.424796,4.18876,4.10084,0.000772,0.360103,FORWARD
110,3.52,67.036078,69.540901,0.3,0.298705,0.295993,0.298705,0.3,0.3,67.878479,63.223806,4.22644,4.13852,0.000772,0.359017,FORWARD
111,3.552,70.081857,72.452595,0.068574,0.068574,0.227767,0.068574,0.3,0.3,69.88474,63.653754,4.2704,4.1762,0.000837,0.35857,FORWARD
112,3.584,62.884865,70.581278,0.3,0.3,0.249437,0.3,0.3,0.3,71.312994,67.11296,4.30808,4.22016,0.000837,0.545455,FORWARD
113,3.616,80.231263,68.735906,0.066466,0.066466,0.194546,0.066466,0.3,0.3,63.954831,70.75931,4.34576,4.25784,0.000772,0.545455,FORWARD
114,3.648,65.572906,66.263851,0.3,0.3,0.226182,0.3,0.3,0.3,67.711283,66.323776,4.38344,4.29552,0.000772,0.545455,FORWARD
115,3.68,69.602008,61.703304,0.3,0.299649,0.248327,0.299649,0.3,0.3,66.924863,65.242624,4.42112,4.3332,0.000772,0.545455,FORWARD
116,3.712,66.630592,72.029941,0.3,0.299356,0.263829,0.299356,0.3,0.3,65.732432,66.317802,4.4588,4.37088,0.000772,0.427083,FORWARD
117,3.744,69.029483,84.654964,0.065267,0.065267,0.204261,0.065267,0.3,0.3,62.293776,70.947995,4.49648,4.40856,0.000772,0.385403,FORWARD
118,3.776,71.961178,84.446321,0.065323,0.064947,0.162579,0.064947,0.3,0.068583,70.564307,72.418735,4.53416,4.44624,0.000772,0.545455,FORWARD
119,3.808,65.528635,78.490143,0.066938,0.065318,0.133887,0.065318,0.3,0.3,68.204735,64.940765,4.553,4.50904,0.000837,0.427083,FORWARD
120,3.84,71.336923,86.711583,0.06471,0.064609,0.113134,0.064609,0.3,0.3,66.015691,65.987684,4.59068,4.54672,0.000772,0.385403,FORWARD
121,3.872,64.999796,87.578895,0.064475,0.064072,0.098536,0.064072,0.3,0.3,66.737778,66.830074,4.62836,4.5844,0.000772,0.369246,FORWARD
122,3.904,74.617327,97.834675,0.061695,0.061695,0.087484,0.062717,0.3,0.3,66.424424,67.773168,4.66604,4.62208,0.000772,0.362751,FORWARD
123,3.936,72.983748,103.855651,0.060064,0.060064,0.079258,0.061267,0.3,0.3,66.752802,61.350847,4.70372,4.65976,0.000772,0.360103,FORWARD
124,3.968,72.23577,107.541028,0.057831,0.057831,0.07283,0.059497,0.068368,0.3,73.213151,72.270526,4.74768,4.69744,0.000837,0.359017,FORWARD
125,4.0,64.867244,98.412747,0.061539,0.059734,0.069442,0.059734,0.068364,0.3,73.227501,61.833702,4.8042,4.71628,0.000772,0.35857,FORWARD
126,4.032,69.710006,103.329579,0.060206,0.059366,0.066671,0.059366,0.3,0.3,65.117688,62.366135,4.867,4.73512,0.000837,0.358386,FORWARD
127,4.064,66.489142,107.277156,0.057997,0.057997,0.064069,0.05838,0.3,0.3,67.359157,65.39611,4.90468,4.7728,0.000772,0.358311,FORWARD
128,4.096,60.854482,108.412315,0.057283,0.057283,0.062033,0.057491,0.3,0.3,60.769127,65.393366,4.94236,4.81048,0.000772,0.358279,FORWARD
129,4.128,72.253771,109.725343,0.056458,0.056458,0.060361,0.056625,0.3,0.3,70.145342,69.027887,4.98004,4.84816,0.000772,0.358267,FORWARD
130,4.16,69.964204,114.027075,0.053754,0.053754,0.058379,0.055101,0.3,0.3,69.367314,68.21567,5.01772,4.88584,0.000772,0.358261,FORWARD
131,4.192,61.674487,114.393166,0.053524,0.053524,0.056922,0.05404,0.3,0.3,66.079474,71.771573,5.0554,4.92352,0.000772,0.358259,FORWARD
132,4.224,68.180432,118.746914,0.050788,0.050788,0.055082,0.052338,0.3,0.3,70.932311,69.197585,5.09936,4.9612,0.000837,0.358258,FORWARD
133,4.256,66.696729,121.538397,0.049595,0.049595,0.053436,0.05086,0.3,0.3,71.640982,68.970586,5.13704,4.99888,0.000772,0.358258,FORWARD
134,4.288,75.631238,119.943571,0.050035,0.050035,0.052416,0.050069,0.3,0.3,66.527957,63.601894,5.17472,5.03656,0.000772,0.358258,FORWARD
135,4.32,69.442933,118.593018,0.050884,0.049824,0.051956,0.049824,0.3,0.3,69.947884,65.962228,5.2124,5.08052,0.000837,0.358258,FORWARD
136,4.352,66.799467,120.594632,0.049844,0.049335,0.051323,0.049335,0.3,0.3,68.073926,64.243936,5.25008,5.1182,0.000772,0.358258,FORWARD
137,4.384,68.496756,127.430563,0.048046,0.048046,0.05034,0.048378,0.3,0.3,71.958555,70.439807,5.28776,5.15588,0.000772,0.358258,FORWARD
138,4.416,70.026942,128.898765,0.04766,0.047625,0.049536,0.047625,0.3,0.3,70.631403,67.955826,5.32544,5.19356,0.000772,0.358258,FORWARD
139,4.448,69.601128,129.88648,0.0474,0.04709,0.048895,0.04709,0.3,0.3,62.423932,67.994234,5.36312,5.22496,0.000708,0.358258,FORWARD
140,4.48,74.717739,130.501445,0.047239,0.046689,0.048398,0.046689,0.3,0.3,63.583509,65.788814,5.39452,5.26264,0.000708,0.358258,FORWARD
141,4.512,66.089351,132.822719,0.046628,0.046171,0.047867,0.046171,0.3,0.3,65.433973,68.277756,5.4322,5.30032,0.000772,0.358258,FORWARD
142,4.544,69.104103,148.748291,0.042441,0.042441,0.046239,0.04438,0.3,0.3,66.468989,70.677472,5.46988,5.33172,0.000708,0.358258,FORWARD
143,4.576,67.476093,151.458634,0.041728,0.041728,0.044886,0.042976,0.068528,0.3,72.621076,66.307676,5.50128,5.3694,0.000708,0.358258,FORWARD
144,4.608,71.53001,149.020149,0.042369,0.042345,0.044131,0.042345,0.3,0.3,58.091962,70.656048,5.5578,5.37568,0.000644,0.358258,FORWARD
