step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,side_danger,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
38,1.216,64.656182,60.304237,0.3,0.298616,0.3,0.299268,0.298616,0.3,0.3,66.108706,66.030061,1.3816,1.45696,0.000772,0.358261,FORWARD
39,1.248,69.244336,63.675263,0.3,0.298616,0.3,0.299488,0.298616,0.3,0.3,65.770562,66.652559,1.41928,1.49464,0.000772,0.358259,FORWARD
40,1.28,70.417595,65.756289,0.3,0.298575,0.3,0.299641,0.298575,0.3,0.3,66.859843,69.959466,1.46324,1.53232,0.000837,0.358258,FORWARD
41,1.312,62.224248,67.986439,0.3,0.29859,0.068563,0.299749,0.29859,0.3,0.068563,62.879302,72.492503,1.50092,1.57,0.000772,0.358258,FORWARD
42,1.344,65.157181,69.926974,0.3,0.298599,0.3,0.299824,0.298599,0.3,0.3,64.403444,57.993363,1.50092,1.64536,0.000772,0.358258,FORWARD
43,1.376,67.166664,67.521682,0.3,0.298564,0.3,0.299877,0.298564,0.3,0.3,68.002107,63.621736,1.5386,1.68932,0.000837,0.358258,FORWARD
44,1.408,68.80619,66.719341,0.3,0.298583,0.3,0.299914,0.298583,0.3,0.3,65.89951,66.480741,1.57628,1.727,0.000772,0.358258,FORWARD
45,1.44,67.761507,63.59491,0.3,0.298595,0.3,0.29994,0.298595,0.3,0.3,62.484808,70.764337,1.61396,1.76468,0.000772,0.358258,FORWARD
46,1.472,71.371698,65.90612,0.3,0.298603,0.3,0.299958,0.298603,0.3,0.3,66.85698,70.073033,1.65164,1.80236,0.000772,0.358258,FORWARD
47,1.504,68.835176,70.302933,0.3,0.298607,0.3,0.29997,0.298607,0.3,0.3,72.245334,68.109684,1.68932,1.84004,0.000772,0.358258,FORWARD
48,1.536,59.779855,67.591865,0.3,0.298569,0.3,0.299979,0.298569,0.3,0.3,63.189593,63.788346,1.73328,1.87772,0.000837,0.358258,FORWARD
49,1.568,73.180014,61.139923,0.068377,0.068377,0.3,0.230499,0.068377,0.3,0.3,66.468208,71.626852,1.77096,1.9154,0.000772,0.358258,FORWARD
50,1.6,67.006924,66.328794,0.3,0.3,0.3,0.251349,0.3,0.3,0.3,71.640572,64.542007,1.80864,1.95308,0.000772,0.545455,FORWARD
51,1.632,64.930632,61.604554,0.3,0.299649,0.3,0.265944,0.299649,0.3,0.3,70.115425,66.830392,1.84632,1.99076,0.000772,0.545455,FORWARD
52,1.664,71.000529,64.934738,0.3,0.299319,0.3,0.276161,0.299319,0.3,0.3,67.279776,69.848913,1.884,2.03472,0.000837,0.427083,FORWARD
53,1.696,66.132989,71.00233,0.3,0.299107,0.3,0.283313,0.299107,0.3,0.3,69.049237,66.975326,1.92168,2.0724,0.000772,0.385403,FORWARD
54,1.728,64.194431,65.181475,0.3,0.29895,0.3,0.288319,0.29895,0.3,0.3,64.518135,68.786007,1.95936,2.11008,0.000772,0.369246,FORWARD
55,1.76,67.379419,66.048914,0.3,0.298838,0.3,0.291823,0.298838,0.3,0.3,64.084735,69.520039,1.99704,2.14776,0.000772,0.362751,FORWARD
56,1.792,61.029286,66.587055,0.3,0.298762,0.3,0.294276,0.298762,0.3,0.3,68.434772,64.001724,2.03472,2.18544,0.000772,0.360103,FORWARD
57,1.824,64.825852,68.194469,0.3,0.29867,0.3,0.295993,0.29867,0.3,0.3,64.705791,62.738521,2.07868,2.22312,0.000837,0.359017,FORWARD
58,1.856,77.66088,66.596286,0.067162,0.067162,0.068598,0.227344,0.067162,0.068598,0.3,72.365209,69.330009,2.11636,2.2608,0.000772,0.35857,FORWARD
59,1.888,73.282012,67.38995,0.068349,0.067459,0.3,0.179646,0.067459,0.3,0.3,68.03143,69.145944,2.19172,2.2608,0.000772,0.545455,FORWARD
60,1.92,71.829527,66.296809,0.3,0.3,0.067867,0.215752,0.3,0.3,0.067867,72.142258,75.059634,2.2294,2.30476,0.000837,0.427083,FORWARD
61,1.952,69.474352,70.058871,0.3,0.299649,0.3,0.241026,0.299649,0.3,0.3,68.106233,68.459386,2.2294,2.38012,0.000772,0.545455,FORWARD
62,1.984,67.686948,64.816531,0.3,0.299356,0.3,0.258718,0.299356,0.3,0.3,67.633864,65.849425,2.26708,2.4178,0.000772,0.427083,FORWARD
63,2.016,69.80365,68.265666,0.3,0.29913,0.3,0.271103,0.29913,0.3,0.3,64.979947,63.977091,2.30476,2.45548,0.000772,0.385403,FORWARD
64,2.048,71.619772,68.532924,0.3,0.298964,0.3,0.279772,0.298964,0.3,0.3,65.409605,60.443836,2.34244,2.49316,0.000772,0.369246,FORWARD
65,2.08,67.671375,61.083041,0.3,0.298847,0.3,0.28584,0.298847,0.3,0.3,68.834501,64.815663,2.38012,2.53084,0.000772,0.362751,FORWARD
66,2.112,62.704265,70.514008,0.3,0.298727,0.3,0.290088,0.298727,0.3,0.3,71.233154,70.533057,2.42408,2.56852,0.000837,0.360103,FORWARD
67,2.144,65.634338,67.842756,0.3,0.298689,0.3,0.293062,0.298689,0.3,0.3,66.535231,64.962066,2.46176,2.6062,0.000772,0.359017,FORWARD
68,2.176,70.896381,66.259123,0.3,0.298664,0.3,0.295143,0.298664,0.3,0.3,67.487815,65.146568,2.49944,2.64388,0.000772,0.35857,FORWARD
69,2.208,69.181799,66.705232,0.3,0.298606,0.3,0.2966,0.298606,0.3,0.3,68.45714,69.578608,2.53712,2.68784,0.000837,0.358386,FORWARD
70,2.24,68.106504,72.072283,0.3,0.29861,0.3,0.29762,0.29861,0.3,0.3,70.212409,63.886536,2.5748,2.72552,0.000772,0.358311,FORWARD
71,2.272,70.751429,63.930308,0.3,0.298612,0.3,0.298334,0.298612,0.3,0.3,65.588892,67.546074,2.61248,2.7632,0.000772,0.358279,FORWARD
72,2.304,72.795158,65.115306,0.068481,0.068481,0.3,0.229378,0.068481,0.3,0.3,71.66892,57.556797,2.65016,2.80088,0.000772,0.358267,FORWARD
73,2.336,70.443736,68.883635,0.3,0.3,0.3,0.250565,0.3,0.3,0.3,59.917594,67.968228,2.68784,2.83856,0.000772,0.545455,FORWARD
74,2.368,62.97697,67.74248,0.3,0.29962,0.3,0.265395,0.29962,0.3,0.3,71.867148,61.935876,2.7318,2.87624,0.000837,0.545455,FORWARD
75,2.4,66.577418,64.864895,0.3,0.29934,0.068334,0.275777,0.29934,0.068334,0.3,73.337856,64.378868,2.76948,2.91392,0.000772,0.427083,FORWARD
76,2.432,68.417745,71.628806,0.3,0.299119,0.3,0.283044,0.299119,0.3,0.3,69.730953,62.838438,2.84484,2.91392,0.000772,0.385403,FORWARD
77,2.464,65.251751,69.434213,0.3,0.298917,0.3,0.288131,0.298917,0.3,0.3,62.058566,64.21992,2.88252,2.95788,0.000837,0.369246,FORWARD
78,2.496,67.714044,67.809035,0.3,0.298817,0.067724,0.291691,0.298817,0.3,0.067724,68.682282,75.588827,2.9202,2.99556,0.000772,0.362751,FORWARD
79,2.528,62.68107,67.131369,0.3,0.298749,0.3,0.294184,0.298749,0.3,0.3,64.698055,69.089518,2.9202,3.07092,0.000772,0.360103,FORWARD
80,2.56,67.768055,69.468244,0.3,0.298703,0.067753,0.295929,0.298703,0.067753,0.3,75.482485,62.994765,2.95788,3.1086,0.000772,0.359017,FORWARD
81,2.592,69.194995,60.621618,0.3,0.298673,0.3,0.29715,0.298673,0.3,0.3,59.569402,66.946801,3.03324,3.1086,0.000772,0.35857,FORWARD
82,2.624,61.117945,62.027082,0.3,0.298653,0.067602,0.298005,0.298653,0.3,0.067602,69.948633,76.039386,3.07092,3.14628,0.000772,0.358386,FORWARD
83,2.656,72.694038,64.77211,0.068508,0.068508,0.3,0.229156,0.068508,0.3,0.3,69.660564,65.539979,3.07092,3.22164,0.000772,0.358311,FORWARD
