type,x,y
actual,0.193508,-0.266737
actual,0.193508,-0.266737
actual,0.193508,-0.26674
actual,0.193508,-0.26674
actual,0.193508,-0.26674
actual,0.193449,-0.266715
actual,0.194079,-0.267037
actual,0.195433,-0.26778
actual,0.196701,-0.268544
actual,0.198044,-0.269431
actual,0.199297,-0.270334
actual,0.200563,-0.271329
actual,0.201008,-0.271699
actual,0.201008,-0.271699
actual,0.201008,-0.271699
actual,0.202519,-0.270849
actual,0.203559,-0.270207
actual,0.204906,-0.269449
actual,0.206282,-0.268747
actual,0.207685,-0.268102
actual,0.209174,-0.267491
actual,0.210626,-0.266964
actual,0.211597,-0.266472
actual,0.213391,-0.264909
actual,0.214582,-0.263828
actual,0.215767,-0.262837
actual,0.217043,-0.261856
actual,0.218478,-0.260767
actual,0.220291,-0.258766
actual,0.221306,-0.257601
actual,0.222414,-0.256434
actual,0.223522,-0.255358
actual,0.224188,-0.254751
actual,0.224239,-0.254711
actual,0.224185,-0.254746
actual,0.22368,-0.25503
actual,0.223043,-0.25534
actual,0.222448,-0.255583
actual,0.221838,-0.255788
actual,0.221153,-0.25597
actual,0.220522,-0.256096
actual,0.220012,-0.256168
actual,0.220334,-0.256156
actual,0.221879,-0.256139
actual,0.223423,-0.256186
actual,0.224964,-0.256287
actual,0.226566,-0.25644
actual,0.228101,-0.256617
actual,0.229639,-0.256763
actual,0.231236,-0.256954
actual,0.232771,-0.257131
actual,0.233669,-0.257209
actual,0.233669,-0.257209
actual,0.233669,-0.257209
actual,0.234274,-0.256988
actual,0.23574,-0.256501
actual,0.237224,-0.256074
actual,0.238725,-0.255709
actual,0.24024,-0.255405
actual,0.241829,-0.255154
actual,0.242403,-0.25507
actual,0.242403,-0.25507
actual,0.242453,-0.25503
actual,0.243211,-0.254543
actual,0.244536,-0.253748
actual,0.24595,-0.252979
actual,0.247277,-0.252325
actual,0.248749,-0.251673
actual,0.250186,-0.251108
actual,0.250488,-0.250997
actual,0.250778,-0.250572
actual,0.253637,-0.245607
actual,0.253671,-0.245553
actual,0.254416,-0.244583
actual,0.2554,-0.243392
actual,0.256476,-0.242196
actual,0.257555,-0.24109
actual,0.258678,-0.24003
actual,0.259845,-0.239017
actual,0.264806,-0.234246
actual,0.269874,-0.228166
actual,0.274924,-0.221096
actual,0.279839,-0.21339
actual,0.284665,-0.205177
actual,0.289416,-0.196624
actual,0.294078,-0.187876
actual,0.298696,-0.178959
actual,0.30327,-0.169947
actual,0.307852,-0.160795
actual,0.312345,-0.151743
actual,0.316882,-0.142569
actual,0.321396,-0.133383
actual,0.325897,-0.124191
actual,0.330405,-0.114931
actual,0.334913,-0.105671
actual,0.339422,-0.096411
actual,0.34389,-0.087203
actual,0.348376,-0.077931
actual,0.352835,-0.068719
actual,0.357343,-0.059459
actual,0.361851,-0.050199
actual,0.366329,-0.040996
actual,0.370815,-0.031725
actual,0.3753,-0.022453
actual,0.379785,-0.013182
actual,0.384254,-0.003974
actual,0.388762,0.005286
actual,0.39327,0.014546
actual,0.39773,0.023758
actual,0.402215,0.033029
actual,0.4067,0.042301
actual,0.41116,0.051513
actual,0.415668,0.060773
actual,0.420176,0.070033
actual,0.424649,0.079239
actual,0.429134,0.08851
actual,0.43362,0.097781
actual,0.438105,0.107052
actual,0.442578,0.116258
actual,0.447086,0.125518
actual,0.451564,0.134721
actual,0.45605,0.143993
actual,0.460535,0.153264
actual,0.46502,0.162535
actual,0.469484,0.171745
actual,0.473992,0.181005
actual,0.478501,0.190265
actual,0.482969,0.199473
actual,0.487454,0.208744
actual,0.49194,0.218015
actual,0.496425,0.227287
actual,0.500903,0.23649
actual,0.505411,0.24575
actual,0.509884,0.254956
actual,0.514369,0.264227
actual,0.518855,0.273498
actual,0.52334,0.282769
actual,0.526291,0.28885
actual,0.527047,0.29027
actual,0.527829,0.291603
actual,0.528665,0.292902
actual,0.529553,0.294166
actual,0.530491,0.295393
actual,0.531521,0.29663
actual,0.532558,0.297774
actual,0.53364,0.298877
actual,0.534766,0.299934
actual,0.535935,0.300944
actual,0.537195,0.301946
actual,0.538443,0.302856
actual,0.53892,0.303184
actual,0.538977,0.303215
actual,0.538977,0.303215
actual,0.539822,0.303527
actual,0.540432,0.303732
actual,0.541618,0.304032
actual,0.543128,0.304357
actual,0.544714,0.30463
actual,0.546246,0.304829
actual,0.54772,0.304961
actual,0.548749,0.305018
actual,0.548684,0.30502
actual,0.548684,0.30502
actual,0.548747,0.305008
actual,0.548747,0.305008
actual,0.548686,0.305026
actual,0.548686,0.305026
actual,0.548744,0.304998
actual,0.548689,0.305032
actual,0.549683,0.304319
actual,0.550954,0.303332
actual,0.552133,0.302335
actual,0.553319,0.301247
actual,0.554412,0.300155
actual,0.555417,0.299068
actual,0.555417,0.299068
actual,0.55548,0.299057
